㐖毒	xie2 du2
㘓哰	lan2 lao2
𪢌哰	lan2 lao2
㚻姦	ji1 jian1
㚻奸	ji1 jian1
㞎㞎	ba3 ba5
㵐水	jue2 shui3
㹴犬	geng1 quan3
㺢㹢狓	huo4 jia1 pi2
䰾魚	ba1 yu2
鲃鱼	ba1 yu2
䴉嘴鷸	huan2 zui3 yu4
鹮嘴鹬	huan2 zui3 yu4
一一	yi1 yi1
一一對應	yi1 yi1 dui4 ying4
一一对应	yi1 yi1 dui4 ying4
一一映射	yi1 yi1 ying4 she4
一丁不識	yi1 ding1 bu4 shi2
一丁不识	yi1 ding1 bu4 shi2
一丁點	yi1 ding1 dian3
一丁点	yi1 ding1 dian3
一下	yi1 xia4
一下兒	yi1 xia4 r5
一下儿	yi1 xia4 r5
一下子	yi1 xia4 zi5
一不小心	yi1 bu4 xiao3 xin1
一世	yi1 shi4
一丘之貉	yi1 qiu1 zhi1 he2
一丟丟	yi1 diu1 diu1
一丢丢	yi1 diu1 diu1
一並	yi1 bing4
一并	yi1 bing4
一中一台	yi1 zhong1 yi1 tai2
一中原則	yi1 zhong1 yuan2 ze2
一中原则	yi1 zhong1 yuan2 ze2
一之為甚	yi1 zhi1 wei2 shen4
一之为甚	yi1 zhi1 wei2 shen4
一之謂甚	yi1 zhi1 wei4 shen4
一之谓甚	yi1 zhi1 wei4 shen4
一乾二淨	yi1 gan1 er4 jing4
一干二净	yi1 gan1 er4 jing4
一了百了	yi1 liao3 bai3 liao3
一事無成	yi1 shi4 wu2 cheng2
一事无成	yi1 shi4 wu2 cheng2
一二	yi1 er4
一二九運動	yi1 er4 jiu3 yun4 dong4
一二九运动	yi1 er4 jiu3 yun4 dong4
一二八事變	yi1 er4 ba1 shi4 bian4
一二八事变	yi1 er4 ba1 shi4 bian4
一五一十	yi1 wu3 yi1 shi2
一些	yi1 xie1
一介不取	yi1 jie4 bu4 qu3
一代	yi1 dai4
一代不如一代	yi1 dai4 bu4 ru2 yi1 dai4
一以貫之	yi1 yi3 guan4 zhi1
一以贯之	yi1 yi3 guan4 zhi1
一作	yi1 zuo4
一併	yi1 bing4
一來	yi1 lai2
一来	yi1 lai2
一來二去	yi1 lai2 er4 qu4
一来二去	yi1 lai2 er4 qu4
一個	yi1 ge5
一个	yi1 ge5
一個中國政策	yi1 ge4 zhong1 guo2 zheng4 ce4
一个中国政策	yi1 ge4 zhong1 guo2 zheng4 ce4
一個人	yi1 ge4 ren2
一个人	yi1 ge4 ren2
一個個	yi1 ge4 ge4
一个个	yi1 ge4 ge4
一個勁	yi1 ge4 jin4
一个劲	yi1 ge4 jin4
一個勁兒	yi1 ge4 jin4 r5
一个劲儿	yi1 ge4 jin4 r5
一個半	yi1 ge5 ban4
一个半	yi1 ge5 ban4
一個將軍一個令	yi1 ge4 jiang1 jun1 yi1 ge4 ling4
一个将军一个令	yi1 ge4 jiang1 jun1 yi1 ge4 ling4
一個巴掌拍不響	yi1 ge5 ba1 zhang3 pai1 bu4 xiang3
一个巴掌拍不响	yi1 ge5 ba1 zhang3 pai1 bu4 xiang3
一個接一個	yi1 ge5 jie1 yi1 ge5
一个接一个	yi1 ge5 jie1 yi1 ge5
一個樣	yi1 ge5 yang4
一个样	yi1 ge5 yang4
一個蘿蔔一個坑	yi1 ge4 luo2 bo5 yi1 ge4 keng1
一个萝卜一个坑	yi1 ge4 luo2 bo5 yi1 ge4 keng1
一個頭兩個大	yi1 ge5 tou2 liang3 ge5 da4
一个头两个大	yi1 ge5 tou2 liang3 ge5 da4
一倡三嘆	yi1 chang4 san1 tan4
一倡三叹	yi1 chang4 san1 tan4
一側化	yi1 ce4 hua4
一侧化	yi1 ce4 hua4
一價	yi1 jia4
一价	yi1 jia4
一元	yi1 yuan2
一元化	yi1 yuan2 hua4
一元復始	yi1 yuan2 fu4 shi3
一元复始	yi1 yuan2 fu4 shi3
一元論	yi1 yuan2 lun4
一元论	yi1 yuan2 lun4
一元醇	yi1 yuan2 chun2
一共	yi1 gong4
一再	yi1 zai4
一准	yi1 zhun3
一刀兩斷	yi1 dao1 liang3 duan4
一刀两断	yi1 dao1 liang3 duan4
一刀切	yi1 dao1 qie1
一分一毫	yi1 fen1 yi1 hao2
一分為二	yi1 fen1 wei2 er4
一分为二	yi1 fen1 wei2 er4
一分熟	yi1 fen1 shu2
一分錢一分貨	yi1 fen1 qian2 yi1 fen1 huo4
一分钱一分货	yi1 fen1 qian2 yi1 fen1 huo4
一分錢兩分貨	yi1 fen1 qian2 liang3 fen1 huo4
一分钱两分货	yi1 fen1 qian2 liang3 fen1 huo4
一切	yi1 qie4
一切向錢看	yi1 qie4 xiang4 qian2 kan4
一切向钱看	yi1 qie4 xiang4 qian2 kan4
一切如舊	yi1 qie4 ru2 jiu4
一切如旧	yi1 qie4 ru2 jiu4
一切就緒	yi1 qie4 jiu4 xu4
一切就绪	yi1 qie4 jiu4 xu4
一切險	yi1 qie4 xian3
一切险	yi1 qie4 xian3
一刻	yi1 ke4
一刻千金	yi1 ke4 qian1 jin1
一刻鐘	yi1 ke4 zhong1
一刻钟	yi1 ke4 zhong1
一則	yi1 ze2
一则	yi1 ze2
一剎那	yi1 cha4 na4
一刹那	yi1 cha4 na4
一力降十會	yi1 li4 xiang2 shi2 hui4
一力降十会	yi1 li4 xiang2 shi2 hui4
一動不動	yi1 dong4 bu4 dong4
一动不动	yi1 dong4 bu4 dong4
一勞永逸	yi1 lao2 yong3 yi4
一劳永逸	yi1 lao2 yong3 yi4
一匙	yi1 chi2
一千零一夜	yi1 qian1 ling2 yi1 ye4
一半	yi1 ban4
一半天	yi1 ban4 tian1
一卡通	yi1 ka3 tong1
一去不回	yi1 qu4 bu4 hui2
一去不復返	yi1 qu4 bu4 fu4 fan3
一去不复返	yi1 qu4 bu4 fu4 fan3
一去無影蹤	yi1 qu4 wu2 ying3 zong1
一去无影踪	yi1 qu4 wu2 ying3 zong1
一反常態	yi1 fan3 chang2 tai4
一反常态	yi1 fan3 chang2 tai4
一反往常	yi1 fan3 wang3 chang2
一口	yi1 kou3
一口價	yi1 kou3 jia4
一口价	yi1 kou3 jia4
一口吃不成胖子	yi1 kou3 chi1 bu4 cheng2 pang4 zi5
一口吃個胖子	yi1 kou3 chi1 ge5 pang4 zi5
一口吃个胖子	yi1 kou3 chi1 ge5 pang4 zi5
一口咬定	yi1 kou3 yao3 ding4
一口氣	yi1 kou3 qi4
一口气	yi1 kou3 qi4
一口氣兒	yi1 kou3 qi4 r5
一口气儿	yi1 kou3 qi4 r5
一古腦兒	yi1 gu3 nao3 r5
一古脑儿	yi1 gu3 nao3 r5
一句	yi1 ju4
一句話	yi1 ju4 hua4
一句话	yi1 ju4 hua4
一同	yi1 tong2
一吐為快	yi1 tu3 wei2 kuai4
一吐为快	yi1 tu3 wei2 kuai4
一向	yi1 xiang4
一周	yi1 zhou1
一味	yi1 wei4
一呼百應	yi1 hu1 bai3 ying4
一呼百应	yi1 hu1 bai3 ying4
